Series,Book,Author,Genre,Rating,Page Count
The Murderbot Diaries,All Systems Red,Martha Wells,Science Fiction,4.5,144
The Murderbot Diaries,Artificial Condition,Martha Wells,Science Fiction,4.5,158
The Murderbot Diaries,Rogue Protocol,Martha Wells,Science Fiction,4.5,158
The Murderbot Diaries,Exit Strategy,Martha Wells,Science Fiction,4.5,163
The Murderbot Diaries,Network Effect,Martha Wells,Science Fiction,4.5,350
The Murderbot Diaries,Fugitive Telemetry,Martha Wells,Science Fiction,4.5,168
The Murderbot Diaries,System Collapse,Martha Wells,Science Fiction,4.5,245
Imperial Radch,Ancillary Justice,Ann Leckie,Science Fiction,4.5,386
Imperial Radch,Ancillary Sword,Ann Leckie,Science Fiction,4.5,356
Imperial Radch,Ancillary Mercy,Ann Leckie,Science Fiction,4.5,328
Imperial Radch,Provenance,Ann Leckie,Science Fiction,4.5,448
Lock in,Lock In,John Scalzi,Science Fiction,4.5,336
Lock in,Head On,John Scalzi,Science Fiction,4.5,335
The Expanse,Leviathan Wakes,James S.A. Corey,Science Fiction,4.5,561
The Expanse,Caliban's War,James S.A. Corey,Science Fiction,4.5,595
The Expanse,Abaddon's Gate,James S.A. Corey,Science Fiction,4.5,539
The Expanse,Cibola Burn,James S.A. Corey,Science Fiction,4.5,581
The Expanse,Nemesis Games,James S.A. Corey,Science Fiction,4.5,544
The Expanse,Babylon's Ashes,James S.A. Corey,Science Fiction,4.5,608
The Expanse,Persepolis Rising,James S.A. Corey,Science Fiction,4.5,560
The Expanse,Tiamat's Wrath,James S.A. Corey,Science Fiction,4.5,544
The Expanse,Leviathan Falls,James S.A. Corey,Science Fiction,4.5,544
